campaign_id,scenario,method,report,report_type,edp_count,week_count,truth_union,estimated_union,union_relative_error
venn_lead_generation,lead_generation,cumulative_full_venn_recent,noncontiguous__5_edps,noncontiguous,5,6,3052,2859,0.06323722149410223
venn_lead_generation,lead_generation,cumulative_full_venn_recent,weeks_1_3__10_edps,prefix,10,3,2486,2486,0.0
venn_lead_generation,lead_generation,cumulative_full_venn_recent,weeks_1_12__10_edps,prefix,10,12,4959,4959,0.0
venn_lead_generation,lead_generation,cumulative_full_venn_recent,all_weeks__10_edps,prefix,10,13,5070,5070,0.0
venn_lead_generation,lead_generation,cumulative_full_venn_recent,weeks_5_12__10_edps,interval,10,8,4283,4190,0.02171375204296054
venn_lead_generation,lead_generation,cumulative_full_venn_recent,weeks_7_13__10_edps,interval,10,7,4005,3817,0.04694132334581773
venn_lead_generation,lead_generation,cumulative_full_venn_recent,noncontiguous__10_edps,noncontiguous,10,6,3683,3363,0.08688569101276133
venn_lead_generation,lead_generation,cumulative_full_venn_recent,noncontiguous__2_edps,noncontiguous,2,6,1940,1844,0.049484536082474224
venn_lead_generation,lead_generation,cumulative_full_venn_oldest,weeks_1_3__2_edps,prefix,2,3,2031,2031,0.0
venn_lead_generation,lead_generation,cumulative_full_venn_oldest,weeks_1_12__2_edps,prefix,2,12,3010,3010,0.0
venn_lead_generation,lead_generation,cumulative_full_venn_oldest,weeks_5_12__2_edps,interval,2,8,1676,1610,0.03937947494033413
venn_lead_generation,lead_generation,cumulative_full_venn_oldest,weeks_1_3__5_edps,prefix,5,3,2207,2207,0.0
venn_lead_generation,lead_generation,cumulative_full_venn_oldest,weeks_1_12__5_edps,prefix,5,12,4373,4373,0.0
venn_lead_generation,lead_generation,cumulative_full_venn_oldest,weeks_7_13__5_edps,interval,5,7,3280,3085,0.05945121951219512
venn_lead_generation,lead_generation,cumulative_full_venn_oldest,all_weeks__5_edps,prefix,5,13,4461,4461,0.0
venn_lead_generation,lead_generation,cumulative_full_venn_oldest,noncontiguous__5_edps,noncontiguous,5,6,3052,3032,0.00655307994757536
venn_lead_generation,lead_generation,cumulative_full_venn_oldest,weeks_1_3__10_edps,prefix,10,3,2486,2486,0.0
venn_lead_generation,lead_generation,cumulative_full_venn_oldest,weeks_1_12__10_edps,prefix,10,12,4959,4959,0.0
venn_lead_generation,lead_generation,cumulative_full_venn_oldest,all_weeks__10_edps,prefix,10,13,5070,5070,0.0
venn_lead_generation,lead_generation,cumulative_full_venn_oldest,weeks_5_12__10_edps,interval,10,8,4283,3911,0.08685500817184216
venn_lead_generation,lead_generation,cumulative_full_venn_oldest,weeks_7_13__10_edps,interval,10,7,4005,3645,0.0898876404494382
venn_lead_generation,lead_generation,cumulative_full_venn_oldest,noncontiguous__10_edps,noncontiguous,10,6,3683,3654,0.007874015748031496
venn_lead_generation,lead_generation,cumulative_full_venn_oldest,noncontiguous__2_edps,noncontiguous,2,6,1940,1907,0.017010309278350514
venn_sales_prospecting,sales_prospecting,daily_full_venn,weeks_1_3__2_edps,prefix,2,3,1567,1724,0.1001914486279515
venn_sales_prospecting,sales_prospecting,daily_full_venn,weeks_1_12__2_edps,prefix,2,12,4766,7822,0.6412085606378515
venn_sales_prospecting,sales_prospecting,daily_full_venn,weeks_5_12__2_edps,interval,2,8,3880,5513,0.4208762886597938
venn_sales_prospecting,sales_prospecting,daily_full_venn,weeks_1_3__5_edps,prefix,5,3,2670,3172,0.18801498127340824
venn_sales_prospecting,sales_prospecting,daily_full_venn,weeks_1_12__5_edps,prefix,5,12,6608,15187,1.298274818401937
venn_sales_prospecting,sales_prospecting,daily_full_venn,weeks_7_13__5_edps,interval,5,7,5133,8701,0.6951100720826028
venn_sales_prospecting,sales_prospecting,daily_full_venn,all_weeks__5_edps,prefix,5,13,6698,16124,1.407285756942371
